Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power
Mon Nov 06 2017 03:57:00 GMT+0800 (SGT),,2.784,,0.005
Mon Nov 06 2017 03:58:00 GMT+0800 (SGT),1.985,,0.782,0.0075
Mon Nov 06 2017 03:59:00 GMT+0800 (SGT),2.079,,0.8715,0.005
Mon Nov 06 2017 04:00:00 GMT+0800 (SGT),,,0.8475,0.005
Mon Nov 06 2017 04:01:00 GMT+0800 (SGT),2.339,2.476,0.0405,0.02
Mon Nov 06 2017 04:02:00 GMT+0800 (SGT),2.5225,2.347,0.041,0.106
Mon Nov 06 2017 04:03:00 GMT+0800 (SGT),,2.429,0.652,0.005
Mon Nov 06 2017 04:04:00 GMT+0800 (SGT),1.998,,,
Mon Nov 06 2017 04:05:00 GMT+0800 (SGT),,1.981,-0.317,0.015
Mon Nov 06 2017 04:06:00 GMT+0800 (SGT),3.153,1.897,-0.0385,1.024
Mon Nov 06 2017 04:08:00 GMT+0800 (SGT),2.8465,2.661,0.275,0.507
Mon Nov 06 2017 04:09:00 GMT+0800 (SGT),2.0615,2.456,,
Mon Nov 06 2017 04:10:00 GMT+0800 (SGT),2.432,,0.028,0.005
Mon Nov 06 2017 04:11:00 GMT+0800 (SGT),2.649,2.5465,0.035,
Mon Nov 06 2017 04:12:00 GMT+0800 (SGT),,2.559,,0.005
Mon Nov 06 2017 04:13:00 GMT+0800 (SGT),2.328,,0.156,
Mon Nov 06 2017 04:14:00 GMT+0800 (SGT),2.503,2.431,-0.125,0.015
Mon Nov 06 2017 04:15:00 GMT+0800 (SGT),2.793,1.925,0.088,0.5775
Mon Nov 06 2017 04:16:00 GMT+0800 (SGT),2.7865,2.66,,
Mon Nov 06 2017 04:17:00 GMT+0800 (SGT),2.528,2.5465,0.037,
Mon Nov 06 2017 04:18:00 GMT+0800 (SGT),,,0.236,0.01
Mon Nov 06 2017 04:19:00 GMT+0800 (SGT),2.964,,-0.435,0.035
Mon Nov 06 2017 04:20:00 GMT+0800 (SGT),3.7905,2.873,0.046,0.954
Mon Nov 06 2017 04:21:00 GMT+0800 (SGT),4.273,,-0.026,
Mon Nov 06 2017 04:22:00 GMT+0800 (SGT),,2.68,0.045,0.563
Mon Nov 06 2017 04:23:00 GMT+0800 (SGT),,2.76,-0.0075,1.572
Mon Nov 06 2017 04:24:00 GMT+0800 (SGT),,2.506,0.036,1.547
Mon Nov 06 2017 04:25:00 GMT+0800 (SGT),4.415,2.784,,1.4865
Mon Nov 06 2017 04:26:00 GMT+0800 (SGT),,,-0.022,1.094
Mon Nov 06 2017 04:27:00 GMT+0800 (SGT),,3.056,0.185,
Mon Nov 06 2017 04:28:00 GMT+0800 (SGT),4.607,2.311,-0.138,1.7115
Mon Nov 06 2017 04:29:00 GMT+0800 (SGT),4.072,3.097,0.088,1.063
Mon Nov 06 2017 04:30:00 GMT+0800 (SGT),,2.922,0.121,0.137
Mon Nov 06 2017 04:31:00 GMT+0800 (SGT),2.747,,-0.065,
Mon Nov 06 2017 04:32:00 GMT+0800 (SGT),3.339,2.783,,0.518
Mon Nov 06 2017 04:33:00 GMT+0800 (SGT),2.883,2.821,0.042,0.121
Mon Nov 06 2017 04:34:00 GMT+0800 (SGT),3.072,2.689,-0.073,0.274
Mon Nov 06 2017 04:35:00 GMT+0800 (SGT),,2.664,,
Mon Nov 06 2017 04:36:00 GMT+0800 (SGT),2.747,2.7625,0.014,
Mon Nov 06 2017 04:37:00 GMT+0800 (SGT),,2.779,-0.094,0.101
Mon Nov 06 2017 04:38:00 GMT+0800 (SGT),2.736,,0.02,0.67
Mon Nov 06 2017 04:39:00 GMT+0800 (SGT),,2.078,,1.124
Mon Nov 06 2017 04:40:00 GMT+0800 (SGT),2.151,,0.317,0.005
Mon Nov 06 2017 04:41:00 GMT+0800 (SGT),2.1455,2.7415,,0.005
Mon Nov 06 2017 04:42:00 GMT+0800 (SGT),,,,0.005
Mon Nov 06 2017 04:43:00 GMT+0800 (SGT),1.788,,0.956,0.005
Mon Nov 06 2017 04:44:00 GMT+0800 (SGT),1.854,,,0.02
Mon Nov 06 2017 04:45:00 GMT+0800 (SGT),,2.833,,0.594
Mon Nov 06 2017 04:46:00 GMT+0800 (SGT),3.74,2.537,-0.037,1.165
Mon Nov 06 2017 04:47:00 GMT+0800 (SGT),3.8,2.914,,
Mon Nov 06 2017 04:48:00 GMT+0800 (SGT),,,,0.941
Mon Nov 06 2017 04:49:00 GMT+0800 (SGT),,,,1.2345
Mon Nov 06 2017 04:51:00 GMT+0800 (SGT),4.451,3.042,0.26,
Mon Nov 06 2017 04:52:00 GMT+0800 (SGT),4.293,2.519,-0.048,1.725
Mon Nov 06 2017 04:53:00 GMT+0800 (SGT),7.674,,,
Mon Nov 06 2017 04:54:00 GMT+0800 (SGT),,,0.12,1.672
Mon Nov 06 2017 04:56:00 GMT+0800 (SGT),6.956,3.344,,
Mon Nov 06 2017 04:58:00 GMT+0800 (SGT),6.654,,0.041,
Mon Nov 06 2017 04:59:00 GMT+0800 (SGT),7.2,,,
Mon Nov 06 2017 05:00:00 GMT+0800 (SGT),6.731,3.404,-0.091,3.0635
Mon Nov 06 2017 05:01:00 GMT+0800 (SGT),4.9445,4.566,0.43,0.8085
Mon Nov 06 2017 05:02:00 GMT+0800 (SGT),4.543,3.44,0.3185,1.421
Mon Nov 06 2017 05:03:00 GMT+0800 (SGT),5.658,3.7825,-0.0495,1.825
Mon Nov 06 2017 05:04:00 GMT+0800 (SGT),6.455,3.432,0.056,3.079
Mon Nov 06 2017 05:05:00 GMT+0800 (SGT),4.008,4.3995,0.722,0.3295
Mon Nov 06 2017 05:06:00 GMT+0800 (SGT),2.215,3.396,1.187,0.005
Mon Nov 06 2017 05:07:00 GMT+0800 (SGT),4.208,3.106,-0.994,0.107
Mon Nov 06 2017 05:08:00 GMT+0800 (SGT),6.515,3.2995,0.067,3.2815
Mon Nov 06 2017 05:09:00 GMT+0800 (SGT),6.856,3.524,0.15,3.4815
Mon Nov 06 2017 05:10:00 GMT+0800 (SGT),6.8675,3.5245,-0.2805,3.061
Mon Nov 06 2017 05:11:00 GMT+0800 (SGT),6.1805,4.527,0.2005,2.593
Mon Nov 06 2017 05:12:00 GMT+0800 (SGT),4.5265,4.0705,0.1235,0.5795
Mon Nov 06 2017 05:13:00 GMT+0800 (SGT),2.096,4.021,0.179,-1.745
Mon Nov 06 2017 05:14:00 GMT+0800 (SGT),2.4195,3.305,-0.1155,-1.002
Mon Nov 06 2017 05:15:00 GMT+0800 (SGT),3.471,2.222,-0.183,1.0645
Mon Nov 06 2017 05:16:00 GMT+0800 (SGT),4.213,3.165,-0.223,0.8235
Mon Nov 06 2017 05:17:00 GMT+0800 (SGT),3.7055,3.36,-0.021,0.324
Mon Nov 06 2017 05:18:00 GMT+0800 (SGT),5.231,3.0485,-0.174,2.0075
Mon Nov 06 2017 05:19:00 GMT+0800 (SGT),5.2615,4.143,-0.023,1.913
Mon Nov 06 2017 05:20:00 GMT+0800 (SGT),5.526,3.693,0.183,2.015
Mon Nov 06 2017 05:21:00 GMT+0800 (SGT),5.713,3.3205,0.144,2.4215
Mon Nov 06 2017 05:22:00 GMT+0800 (SGT),4.387,3.6545,0.2845,1.291
Mon Nov 06 2017 05:23:00 GMT+0800 (SGT),5.5795,3.3595,0.0355,2.2545
Mon Nov 06 2017 05:24:00 GMT+0800 (SGT),5.045,3.226,0.026,1.844
Mon Nov 06 2017 05:25:00 GMT+0800 (SGT),5.1115,3.1755,0.044,1.9795
Mon Nov 06 2017 05:26:00 GMT+0800 (SGT),7.5445,3.279,-0.3515,3.9125
Mon Nov 06 2017 05:27:00 GMT+0800 (SGT),6.633,3.8265,0.1615,2.967
Mon Nov 06 2017 05:28:00 GMT+0800 (SGT),7.212,3.819,0.1715,4.073
Mon Nov 06 2017 05:29:00 GMT+0800 (SGT),7.6325,3.567,0.018,4.245
Mon Nov 06 2017 05:30:00 GMT+0800 (SGT),7.6565,3.4615,-0.0095,4.184
Mon Nov 06 2017 05:31:00 GMT+0800 (SGT),7.727,3.566,0.097,4.3975
Mon Nov 06 2017 05:32:00 GMT+0800 (SGT),7.789,3.459,-0.023,4.306
Mon Nov 06 2017 05:33:00 GMT+0800 (SGT),7.8105,3.473,-0.046,4.2905
Mon Nov 06 2017 05:34:00 GMT+0800 (SGT),7.893,3.355,0.07,4.585
Mon Nov 06 2017 05:35:00 GMT+0800 (SGT),7.9145,3.5755,0.0355,4.374
Mon Nov 06 2017 05:36:00 GMT+0800 (SGT),8.0085,3.1045,-0.0635,4.8395
Mon Nov 06 2017 05:37:00 GMT+0800 (SGT),8.083,2.8895,-0.0515,5.141
Mon Nov 06 2017 05:38:00 GMT+0800 (SGT),8.156,3.099,-0.022,5.034
Mon Nov 06 2017 05:39:00 GMT+0800 (SGT),7.3085,2.126,-0.1905,4.9905
Mon Nov 06 2017 05:40:00 GMT+0800 (SGT),8.3015,2.878,-0.307,5.132
Mon Nov 06 2017 05:41:00 GMT+0800 (SGT),8.342,3.076,-0.338,4.9265
Mon Nov 06 2017 05:42:00 GMT+0800 (SGT),8.4175,2.9585,-0.465,4.993
Mon Nov 06 2017 05:43:00 GMT+0800 (SGT),8.538,2.9345,-0.557,5.068
Mon Nov 06 2017 05:44:00 GMT+0800 (SGT),8.748,3.0135,-0.8475,4.8855
Mon Nov 06 2017 05:45:00 GMT+0800 (SGT),8.7175,2.9365,-0.917,4.963
Mon Nov 06 2017 05:46:00 GMT+0800 (SGT),8.729,2.837,-0.7415,5.1495
Mon Nov 06 2017 05:47:00 GMT+0800 (SGT),8.8155,2.868,-0.891,5.0555
Mon Nov 06 2017 05:48:00 GMT+0800 (SGT),8.9985,2.9475,-1.0435,5.0065
Mon Nov 06 2017 05:49:00 GMT+0800 (SGT),9.024,2.893,-1.0435,5.086
Mon Nov 06 2017 05:50:00 GMT+0800 (SGT),9.039,3.115,-1.0035,4.9195
Mon Nov 06 2017 05:51:00 GMT+0800 (SGT),9.1615,2.8435,-1.116,5.201
Mon Nov 06 2017 05:52:00 GMT+0800 (SGT),9.2285,3.4255,-0.847,4.955
Mon Nov 06 2017 05:53:00 GMT+0800 (SGT),9.357,3.518,-0.824,5.014
Mon Nov 06 2017 05:54:00 GMT+0800 (SGT),9.586,3.7245,-1.0095,4.8505
Mon Nov 06 2017 05:55:00 GMT+0800 (SGT),9.658,3.3455,-1.2735,5.0375
Mon Nov 06 2017 05:56:00 GMT+0800 (SGT),9.876,3.733,-1.1055,5.0365
Mon Nov 06 2017 05:57:00 GMT+0800 (SGT),10.1625,3.602,-1.427,5.076
Mon Nov 06 2017 05:58:00 GMT+0800 (SGT),10.4845,3.5585,-1.909,5.0155
Mon Nov 06 2017 05:59:00 GMT+0800 (SGT),10.666,,-2.105,
Mon Nov 06 2017 06:00:00 GMT+0800 (SGT),9.386,3.174,-1.732,4.479
Mon Nov 06 2017 06:01:00 GMT+0800 (SGT),10.282,3.675,-1.904,4.625
Mon Nov 06 2017 06:02:00 GMT+0800 (SGT),7.951,0.902,-2.031,5.017
Mon Nov 06 2017 06:03:00 GMT+0800 (SGT),10.173,2.5235,-2.4705,5.1775
Mon Nov 06 2017 06:04:00 GMT+0800 (SGT),8.267,-1.201,-1.14,3.182
Mon Nov 06 2017 06:05:00 GMT+0800 (SGT),3.8185,1.9705,0.024,1.821
Mon Nov 06 2017 06:06:00 GMT+0800 (SGT),7.0085,3.2235,-0.2785,3.506
Mon Nov 06 2017 06:07:00 GMT+0800 (SGT),7.7035,1.639,-2.8035,3.26
Mon Nov 06 2017 06:08:00 GMT+0800 (SGT),10.641,3.4275,-2.0895,5.123
Mon Nov 06 2017 06:09:00 GMT+0800 (SGT),10.4945,3.3415,-2.192,4.96
Mon Nov 06 2017 06:10:00 GMT+0800 (SGT),2.82,3.834,0.049,-0.964
Mon Nov 06 2017 06:11:00 GMT+0800 (SGT),10.8165,3.508,-2.2485,5.059
Mon Nov 06 2017 06:12:00 GMT+0800 (SGT),11.0225,3.288,-2.6485,5.115
Mon Nov 06 2017 06:13:00 GMT+0800 (SGT),11.196,3.521,-2.6265,5.023
Mon Nov 06 2017 06:14:00 GMT+0800 (SGT),10.9705,3.619,-2.334,5.0755
Mon Nov 06 2017 06:15:00 GMT+0800 (SGT),10.7105,3.321,-2.2045,5.06
Mon Nov 06 2017 06:16:00 GMT+0800 (SGT),10.052,2.6675,-2.23,5.1375
Mon Nov 06 2017 06:17:00 GMT+0800 (SGT),10.9335,3.879,-2.101,5.088
Mon Nov 06 2017 06:18:00 GMT+0800 (SGT),10.838,3.6575,-2.096,5.075
Mon Nov 06 2017 06:19:00 GMT+0800 (SGT),10.8855,3.4825,-2.26,5.1415
Mon Nov 06 2017 06:20:00 GMT+0800 (SGT),10.856,3.6565,-2.241,4.9575
Mon Nov 06 2017 06:21:00 GMT+0800 (SGT),11.034,4.188,-2.258,4.7975
Mon Nov 06 2017 06:22:00 GMT+0800 (SGT),8.277,0.292,-2.742,5.242
Mon Nov 06 2017 06:23:00 GMT+0800 (SGT),11.8125,4.3745,-2.3865,5.0505
Mon Nov 06 2017 06:24:00 GMT+0800 (SGT),12.516,3.7305,-3.865,4.9195
Mon Nov 06 2017 06:25:00 GMT+0800 (SGT),8.321,2.059,-1.8365,4.4245
Mon Nov 06 2017 06:26:00 GMT+0800 (SGT),12.052,3.7395,-3.257,5.1135
Mon Nov 06 2017 06:27:00 GMT+0800 (SGT),12.058,3.9955,-2.924,5.0915
Mon Nov 06 2017 06:28:00 GMT+0800 (SGT),11.7625,4.155,-2.377,5.283
Mon Nov 06 2017 06:29:00 GMT+0800 (SGT),11.4645,4.1635,-2.132,5.1675
Mon Nov 06 2017 06:30:00 GMT+0800 (SGT),11.378,4.159,-2.156,5.0855
Mon Nov 06 2017 06:31:00 GMT+0800 (SGT),11.5495,4.22,-2.284,5.044
Mon Nov 06 2017 06:32:00 GMT+0800 (SGT),8.1445,7.526,1.3875,-0.487
Mon Nov 06 2017 06:33:00 GMT+0800 (SGT),8.7995,1.5875,-2.1815,5.0295
Mon Nov 06 2017 06:34:00 GMT+0800 (SGT),12.179,4.4045,-2.737,5.0365
Mon Nov 06 2017 06:35:00 GMT+0800 (SGT),10.555,2.736,-2.9395,4.798
Mon Nov 06 2017 06:36:00 GMT+0800 (SGT),7.463,3.629,-1.932,1.9015
Mon Nov 06 2017 06:37:00 GMT+0800 (SGT),3.123,-3.044,-1.278,4.889
Mon Nov 06 2017 06:38:00 GMT+0800 (SGT),12.7475,8.4045,-1.061,2.803
Mon Nov 06 2017 06:39:00 GMT+0800 (SGT),4.9735,7.182,-1.08,0.0375
Mon Nov 06 2017 06:40:00 GMT+0800 (SGT),10.751,4.329,-1.344,5.077
Mon Nov 06 2017 06:41:00 GMT+0800 (SGT),12.2015,4.253,,4.902
Mon Nov 06 2017 06:42:00 GMT+0800 (SGT),12.726,5.4235,-2.1135,5.188
Mon Nov 06 2017 06:43:00 GMT+0800 (SGT),12.798,10.5065,0.663,2.9535
Mon Nov 06 2017 06:44:00 GMT+0800 (SGT),11.05,4.474,-1.27,3.868
Mon Nov 06 2017 06:45:00 GMT+0800 (SGT),8.642,2.4175,-2.118,4.1055
Mon Nov 06 2017 06:46:00 GMT+0800 (SGT),12.514,3.913,-3.6105,4.9895
Mon Nov 06 2017 06:47:00 GMT+0800 (SGT),12.2265,3.6115,-3.669,4.945
Mon Nov 06 2017 06:48:00 GMT+0800 (SGT),2.505,-2.4575,-4.32,4.851
Mon Nov 06 2017 06:49:00 GMT+0800 (SGT),8.6785,1.8005,-2.168,3.8565
Mon Nov 06 2017 06:50:00 GMT+0800 (SGT),12.619,3.861,,4.985
Mon Nov 06 2017 06:51:00 GMT+0800 (SGT),12.565,3.936,-3.634,5.024
Mon Nov 06 2017 06:52:00 GMT+0800 (SGT),12.8925,3.9235,-3.934,5.043
Mon Nov 06 2017 06:53:00 GMT+0800 (SGT),13.277,4.009,-4.2695,4.997
Mon Nov 06 2017 06:54:00 GMT+0800 (SGT),13.195,3.966,-4.0815,5.1465
Mon Nov 06 2017 06:55:00 GMT+0800 (SGT),13.056,4.07,-3.949,5.0175
Mon Nov 06 2017 06:56:00 GMT+0800 (SGT),12.958,4.1245,-3.853,4.9485
Mon Nov 06 2017 06:57:00 GMT+0800 (SGT),12.894,3.928,-3.9355,5.01
Mon Nov 06 2017 06:58:00 GMT+0800 (SGT),12.829,3.791,-4.122,4.9145
Mon Nov 06 2017 06:59:00 GMT+0800 (SGT),12.852,3.49,-4.332,5.029
Mon Nov 06 2017 07:00:00 GMT+0800 (SGT),12.41,3.4575,-4.3425,4.609
Mon Nov 06 2017 07:01:00 GMT+0800 (SGT),13.0595,3.5445,-4.5245,4.9895
Mon Nov 06 2017 07:02:00 GMT+0800 (SGT),13.1645,3.6655,-4.47,5.0275
Mon Nov 06 2017 07:03:00 GMT+0800 (SGT),8.667,3.64,-2.1705,4.905
Mon Nov 06 2017 07:04:00 GMT+0800 (SGT),9.6045,1.7395,-3.028,4.834
Mon Nov 06 2017 07:05:00 GMT+0800 (SGT),13.548,3.566,-4.8865,5.0945
Mon Nov 06 2017 07:06:00 GMT+0800 (SGT),13.1995,3.608,-4.584,5.038
Mon Nov 06 2017 07:07:00 GMT+0800 (SGT),13.173,3.6745,-4.516,4.9805
Mon Nov 06 2017 07:08:00 GMT+0800 (SGT),13.1235,3.6025,-4.526,5.091
Mon Nov 06 2017 07:09:00 GMT+0800 (SGT),13.0975,3.767,-4.424,4.8185
Mon Nov 06 2017 07:10:00 GMT+0800 (SGT),13.138,3.689,-4.577,4.871
Mon Nov 06 2017 07:11:00 GMT+0800 (SGT),13.2355,3.6025,-4.6255,5.0065
Mon Nov 06 2017 07:12:00 GMT+0800 (SGT),13.276,4.95,-4.035,4.9385
Mon Nov 06 2017 07:13:00 GMT+0800 (SGT),13.3635,3.702,-4.622,4.955
Mon Nov 06 2017 07:14:00 GMT+0800 (SGT),13.38,3.877,-4.4965,5.0055
Mon Nov 06 2017 07:15:00 GMT+0800 (SGT),13.415,3.56,-4.625,5.192
Mon Nov 06 2017 07:16:00 GMT+0800 (SGT),13.4955,3.762,-4.7055,5.0265
Mon Nov 06 2017 07:17:00 GMT+0800 (SGT),13.579,3.6695,-4.7775,5.131
Mon Nov 06 2017 07:18:00 GMT+0800 (SGT),13.633,3.645,-5.045,
Mon Nov 06 2017 07:19:00 GMT+0800 (SGT),13.7635,3.7055,-5.0895,4.967
Mon Nov 06 2017 07:20:00 GMT+0800 (SGT),13.991,3.9135,-5.131,
Mon Nov 06 2017 07:21:00 GMT+0800 (SGT),14.212,3.771,-5.512,5
Mon Nov 06 2017 07:22:00 GMT+0800 (SGT),14.631,3.773,-5.602,5.109
Mon Nov 06 2017 07:23:00 GMT+0800 (SGT),14.768,,,
Mon Nov 06 2017 07:24:00 GMT+0800 (SGT),15.112,3.8,-6.137,4.9715
Mon Nov 06 2017 07:25:00 GMT+0800 (SGT),15.5375,3.58,-6.789,
Mon Nov 06 2017 07:26:00 GMT+0800 (SGT),17.326,3.732,-8.489,4.7965
Mon Nov 06 2017 07:27:00 GMT+0800 (SGT),17.699,3.804,-9.2215,4.756
Mon Nov 06 2017 07:28:00 GMT+0800 (SGT),11.335,2.364,-3.9115,5.195
Mon Nov 06 2017 07:29:00 GMT+0800 (SGT),,4.9565,-3.964,5.0195
Mon Nov 06 2017 07:30:00 GMT+0800 (SGT),9.915,4.184,-4.9555,5.0725
Mon Nov 06 2017 07:31:00 GMT+0800 (SGT),16.418,2.976,,4.756
Mon Nov 06 2017 07:32:00 GMT+0800 (SGT),18.817,10.249,-2.6245,4.751
Mon Nov 06 2017 07:33:00 GMT+0800 (SGT),18.817,12.8915,-1.648,4.903
Mon Nov 06 2017 07:34:00 GMT+0800 (SGT),18.817,13.7385,-0.503,4.128
Mon Nov 06 2017 07:35:00 GMT+0800 (SGT),12.289,2.789,-8.634,4.951
Mon Nov 06 2017 07:36:00 GMT+0800 (SGT),15.464,5.7005,-4.7195,5.092
Mon Nov 06 2017 07:37:00 GMT+0800 (SGT),14.2665,3.189,,5.051
Mon Nov 06 2017 07:38:00 GMT+0800 (SGT),16.08,8.1655,1.595,3.55
Mon Nov 06 2017 07:39:00 GMT+0800 (SGT),4.981,,,1.627
Mon Nov 06 2017 07:40:00 GMT+0800 (SGT),,7.616,-0.133,1.015
Mon Nov 06 2017 07:41:00 GMT+0800 (SGT),9.8585,0.964,,5.081
Mon Nov 06 2017 07:42:00 GMT+0800 (SGT),15.198,4.0715,-6.032,4.934
Mon Nov 06 2017 07:43:00 GMT+0800 (SGT),14.643,4.024,-5.6845,4.9335
Mon Nov 06 2017 07:44:00 GMT+0800 (SGT),14.464,3.814,-5.527,
Mon Nov 06 2017 07:45:00 GMT+0800 (SGT),14.474,3.7105,-5.687,5.098
Mon Nov 06 2017 07:46:00 GMT+0800 (SGT),14.57,3.837,-5.7625,4.819
Mon Nov 06 2017 07:47:00 GMT+0800 (SGT),14.674,,-5.706,
Mon Nov 06 2017 07:48:00 GMT+0800 (SGT),14.691,4.068,-5.828,
Mon Nov 06 2017 07:49:00 GMT+0800 (SGT),14.73,4.094,,
Mon Nov 06 2017 07:50:00 GMT+0800 (SGT),14.851,3.979,-6.285,4.7765
Mon Nov 06 2017 07:51:00 GMT+0800 (SGT),15.018,3.785,-6.8615,4.497
Mon Nov 06 2017 07:52:00 GMT+0800 (SGT),15.4735,3.602,-7.475,4.014
Mon Nov 06 2017 07:53:00 GMT+0800 (SGT),15.619,,-7.823,3.89
Mon Nov 06 2017 07:54:00 GMT+0800 (SGT),15.727,4.293,-6.759,
Mon Nov 06 2017 07:55:00 GMT+0800 (SGT),15.198,7.3095,-3.046,3.1695
Mon Nov 06 2017 07:56:00 GMT+0800 (SGT),15.626,3.477,-9.1995,2.77
Mon Nov 06 2017 07:57:00 GMT+0800 (SGT),15.406,6.973,,2.759
Mon Nov 06 2017 07:58:00 GMT+0800 (SGT),15.833,,-10.602,1.697
